╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
  201s |      129.1 MB/s |   102.1 MB/s |    115,000 |    18,285,000 |   20.04 GB |       0
  202s |       78.6 MB/s |   102.0 MB/s |     70,000 |    18,355,000 |   20.12 GB |       0
  203s |      151.5 MB/s |   102.2 MB/s |    135,000 |    18,490,000 |   20.27 GB |       0
  204s |      117.8 MB/s |   102.3 MB/s |    105,000 |    18,595,000 |   20.38 GB |       0
  205s |       89.8 MB/s |   102.2 MB/s |     80,000 |    18,675,000 |   20.47 GB |       0
  206s |       89.8 MB/s |   102.2 MB/s |     80,000 |    18,755,000 |   20.56 GB |       0
  207s |       89.8 MB/s |   102.1 MB/s |     80,000 |    18,835,000 |   20.64 GB |       0
  208s |       84.2 MB/s |   102.0 MB/s |     75,000 |    18,910,000 |   20.73 GB |       0
  209s |       95.4 MB/s |   102.0 MB/s |     85,000 |    18,995,000 |   20.82 GB |       0
  210s |       89.8 MB/s |   101.9 MB/s |     80,000 |    19,075,000 |   20.91 GB |       0
  211s |      106.6 MB/s |   102.0 MB/s |     95,000 |    19,170,000 |   21.01 GB |       0
  212s |      140.3 MB/s |   102.1 MB/s |    125,000 |    19,295,000 |   21.15 GB |       0
  213s |      117.8 MB/s |   102.2 MB/s |    105,000 |    19,400,000 |   21.26 GB |       0
  214s |      101.0 MB/s |   102.2 MB/s |     90,000 |    19,490,000 |   21.36 GB |       0
  215s |       95.4 MB/s |   102.2 MB/s |     85,000 |    19,575,000 |   21.46 GB |       0
  216s |       84.2 MB/s |   102.1 MB/s |     75,000 |    19,650,000 |   21.54 GB |       0
  217s |      101.0 MB/s |   102.1 MB/s |     90,000 |    19,740,000 |   21.64 GB |       0
  218s |      157.1 MB/s |   102.3 MB/s |    140,000 |    19,880,000 |   21.79 GB |       0
  219s |      101.0 MB/s |   102.3 MB/s |     90,000 |    19,970,000 |   21.89 GB |       0
  220s |      101.0 MB/s |   102.3 MB/s |     90,000 |    20,060,000 |   21.99 GB |       0
  221s |       89.8 MB/s |   102.3 MB/s |     80,000 |    20,140,000 |   22.07 GB |       0
  222s |       89.8 MB/s |   102.2 MB/s |     80,000 |    20,220,000 |   22.16 GB |       0
  223s |       89.8 MB/s |   102.2 MB/s |     80,000 |    20,300,000 |   22.25 GB |       0
  224s |       89.8 MB/s |   102.1 MB/s |     80,000 |    20,380,000 |   22.34 GB |       0
  225s |      117.8 MB/s |   102.2 MB/s |    105,000 |    20,485,000 |   22.45 GB |       0
  226s |       89.8 MB/s |   102.1 MB/s |     80,000 |    20,565,000 |   22.54 GB |       0
  227s |       89.8 MB/s |   102.1 MB/s |     80,000 |    20,645,000 |   22.63 GB |       0
  228s |       95.4 MB/s |   102.0 MB/s |     85,000 |    20,730,000 |   22.72 GB |       0
  229s |      101.0 MB/s |   102.0 MB/s |     90,000 |    20,820,000 |   22.82 GB |       0
  230s |       78.6 MB/s |   101.9 MB/s |     70,000 |    20,890,000 |   22.90 GB |       0
  231s |      157.1 MB/s |   102.2 MB/s |    140,000 |    21,030,000 |   23.05 GB |       0
  232s |      112.2 MB/s |   102.2 MB/s |    100,000 |    21,130,000 |   23.16 GB |       0
  233s |       89.8 MB/s |   102.2 MB/s |     80,000 |    21,210,000 |   23.25 GB |       0
  234s |      101.0 MB/s |   102.2 MB/s |     90,000 |    21,300,000 |   23.35 GB |       0
  235s |       89.8 MB/s |   102.1 MB/s |     80,000 |    21,380,000 |   23.43 GB |       0
  236s |       95.4 MB/s |   102.1 MB/s |     85,000 |    21,465,000 |   23.53 GB |       0
  237s |      112.2 MB/s |   102.1 MB/s |    100,000 |    21,565,000 |   23.64 GB |       0
  238s |       73.0 MB/s |   102.0 MB/s |     65,000 |    21,630,000 |   23.71 GB |       0
  239s |      179.6 MB/s |   102.3 MB/s |    160,000 |    21,790,000 |   23.88 GB |       0
  240s |       89.8 MB/s |   102.3 MB/s |     80,000 |    21,870,000 |   23.97 GB |       0
  241s |       89.8 MB/s |   102.2 MB/s |     80,000 |    21,950,000 |   24.06 GB |       0

--- POSTGRESQL SUMMARY ---
  Target:       200 MB/s
  Actual Avg:   102.2 MB/s  (51% of target)
  Total Data:   24.06 GB
  Total Rows:   21,950,000
  Errors:       0
  Duration:     241.0s
  Status:       DEGRADED


JSON_RESULT:{"engine": "postgresql", "target_mbps": 200, "actual_mbps": 102.7, "achieved_pct": 51.3, "total_gb": 24.06, "total_rows": 21950000, "errors": 0, "duration_sec": 240, "workers": 16, "status": "DEGRADED", "timestamp": "2026-03-12T04:16:49.637826"}
Cooldown 15s...

>>> mysql @ 200 MB/s (240s)

[2026-03-12T04:17:04.739768] Starting mysql benchmark at 200 MB/s with 16 workers for 240s
[MySQL] Created benchmark_data on aurora-bench-mysql.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  MYSQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
--------------------------------------------------------------------------------------
    1s |        0.0 MB/s |     0.0 MB/s |          0 |             0 |    0.00 GB |       0
    2s |      133.5 MB/s |    66.7 MB/s |     80,000 |        80,000 |    0.13 GB |       0
    3s |      141.9 MB/s |    91.8 MB/s |     85,000 |       165,000 |    0.27 GB |       0
    4s |      133.5 MB/s |   102.2 MB/s |     80,000 |       245,000 |    0.40 GB |       0
    5s |      150.2 MB/s |   111.8 MB/s |     90,000 |       335,000 |    0.55 GB |       0
    6s |      133.5 MB/s |   115.4 MB/s |     80,000 |       415,000 |    0.68 GB |       0
    7s |      133.5 MB/s |   118.0 MB/s |     80,000 |       495,000 |    0.81 GB |       0
    8s |      141.9 MB/s |   121.0 MB/s |     85,000 |       580,000 |    0.95 GB |       0
    9s |      141.9 MB/s |   123.3 MB/s |     85,000 |       665,000 |    1.08 GB |       0
   10s |      141.9 MB/s |   125.2 MB/s |     85,000 |       750,000 |    1.22 GB |       0
   11s |      133.5 MB/s |   125.9 MB/s |     80,000 |       830,000 |    1.35 GB |       0
   12s |      141.9 MB/s |   127.2 MB/s |     85,000 |       915,000 |    1.49 GB |       0
   13s |      150.2 MB/s |   129.0 MB/s |     90,000 |     1,005,000 |    1.64 GB |       0
   14s |      141.9 MB/s |   129.9 MB/s |     85,000 |     1,090,000 |    1.78 GB |       0
   15s |      158.5 MB/s |   131.8 MB/s |     95,000 |     1,185,000 |    1.93 GB |       0
   16s |      133.5 MB/s |   131.9 MB/s |     80,000 |     1,265,000 |    2.06 GB |       0
   17s |      150.2 MB/s |   133.0 MB/s |     90,000 |     1,355,000 |    2.21 GB |       0
   18s |      133.5 MB/s |   133.0 MB/s |     80,000 |     1,435,000 |    2.34 GB |       0
   19s |      150.2 MB/s |   133.9 MB/s |     90,000 |     1,525,000 |    2.49 GB |       0
   20s |      133.5 MB/s |   133.9 MB/s |     80,000 |     1,605,000 |    2.62 GB |       0
   21s |      166.9 MB/s |   135.5 MB/s |    100,000 |     1,705,000 |    2.78 GB |       0
   22s |      141.9 MB/s |   135.8 MB/s |     85,000 |     1,790,000 |    2.92 GB |       0
   23s |      150.2 MB/s |   136.4 MB/s |     90,000 |     1,880,000 |    3.06 GB |       0
   24s |      141.9 MB/s |   136.6 MB/s |     85,000 |     1,965,000 |    3.20 GB |       0
   25s |      158.5 MB/s |   137.5 MB/s |     95,000 |     2,060,000 |    3.36 GB |       0
   26s |      141.9 MB/s |   137.7 MB/s |     85,000 |     2,145,000 |    3.50 GB |       0
   27s |      158.5 MB/s |   138.4 MB/s |     95,000 |     2,240,000 |    3.65 GB |       0
   28s |      133.5 MB/s |   138.3 MB/s |     80,000 |     2,320,000 |    3.78 GB |       0
   29s |      141.9 MB/s |   138.4 MB/s |     85,000 |     2,405,000 |    3.92 GB |       0
   30s |      150.2 MB/s |   138.8 MB/s |     90,000 |     2,495,000 |    4.07 GB |       0
   31s |      158.5 MB/s |   139.4 MB/s |     95,000 |     2,590,000 |    4.22 GB |       0
   32s |      150.2 MB/s |   139.8 MB/s |     90,000 |     2,680,000 |    4.37 GB |       0
   33s |      150.2 MB/s |   140.1 MB/s |     90,000 |     2,770,000 |    4.51 GB |       0
   34s |      150.2 MB/s |   140.4 MB/s |     90,000 |     2,860,000 |    4.66 GB |       0
   35s |      150.2 MB/s |   140.7 MB/s |     90,000 |     2,950,000 |    4.81 GB |       0
   36s |      141.9 MB/s |   140.7 MB/s |     85,000 |     3,035,000 |    4.95 GB |       0
   37s |      158.5 MB/s |   141.2 MB/s |     95,000 |     3,130,000 |    5.10 GB |       0
   38s |      133.5 MB/s |   141.0 MB/s |     80,000 |     3,210,000 |    5.23 GB |       0
   39s |      150.2 MB/s |   141.2 MB/s |     90,000 |     3,300,000 |    5.38 GB |       0
   40s |      166.9 MB/s |   141.8 MB/s |    100,000 |     3,400,000 |    5.54 GB |       0
   41s |      150.2 MB/s |   142.0 MB/s |     90,000 |     3,490,000 |    5.69 GB |       0
   42s |      158.5 MB/s |   142.4 MB/s |     95,000 |     3,585,000 |    5.84 GB |       0
   43s |      150.2 MB/s |   142.6 MB/s |     90,000 |     3,675,000 |    5.99 GB |       0
   44s |      183.6 MB/s |   143.5 MB/s |    110,000 |     3,785,000 |    6.17 GB |       0
   45s |      175.2 MB/s |   144.3 MB/s |    105,000 |     3,890,000 |    6.34 GB |       0
   46s |      150.2 MB/s |   144.4 MB/s |     90,000 |     3,980,000 |    6.49 GB |       0
   47s |      158.5 MB/s |   144.7 MB/s |     95,000 |     4,075,000 |    6.64 GB |       0
   48s |      158.5 MB/s |   145.0 MB/s |     95,000 |     4,170,000 |    6.80 GB |       0
   49s |      150.2 MB/s |   145.1 MB/s |     90,000 |     4,260,000 |    6.94 GB |       0
   50s |      158.5 MB/s |   145.3 MB/s |     95,000 |     4,355,000 |    7.10 GB |       0
   51s |      141.9 MB/s |   145.3 MB/s |     85,000 |     4,440,000 |    7.24 GB |       0
   52s |      141.9 MB/s |   145.2 MB/s |     85,000 |     4,525,000 |    7.37 GB |       0
   53s |      166.9 MB/s |   145.6 MB/s |    100,000 |     4,625,000 |    7.54 GB |       0
   54s |      141.9 MB/s |   145.6 MB/s |     85,000 |     4,710,000 |    7.68 GB |       0
   55s |      150.2 MB/s |   145.6 MB/s |     90,000 |     4,800,000 |    7.82 GB |       0
   56s |      158.5 MB/s |   145.9 MB/s |     95,000 |     4,895,000 |    7.98 GB |       0
   57s |      133.5 MB/s |   145.6 MB/s |     80,000 |     4,975,000 |    8.11 GB |       0
   58s |      133.5 MB/s |   145.4 MB/s |     80,000 |     5,055,000 |    8.24 GB |       0
   59s |      166.9 MB/s |   145.8 MB/s |    100,000 |     5,155,000 |    8.40 GB |       0
   60s |      141.9 MB/s |   145.7 MB/s |     85,000 |     5,240,000 |    8.54 GB |       0
   61s |      141.9 MB/s |   145.7 MB/s |     85,000 |     5,325,000 |    8.68 GB |       0
   62s |      141.9 MB/s |   145.6 MB/s |     85,000 |     5,410,000 |    8.82 GB |       0
   63s |      150.2 MB/s |   145.7 MB/s |     90,000 |     5,500,000 |    8.96 GB |       0
   64s |      150.2 MB/s |   145.8 MB/s |     90,000 |     5,590,000 |    9.11 GB |       0
   65s |      150.2 MB/s |   145.8 MB/s |     90,000 |     5,680,000 |    9.26 GB |       0
   66s |      133.5 MB/s |   145.6 MB/s |     80,000 |     5,760,000 |    9.39 GB |       0
   67s |      133.5 MB/s |   145.5 MB/s |     80,000 |     5,840,000 |    9.52 GB |       0
   68s |      150.2 MB/s |   145.5 MB/s |     90,000 |     5,930,000 |    9.66 GB |       0
   69s |      150.2 MB/s |   145.6 MB/s |     90,000 |     6,020,000 |    9.81 GB |       0
   70s |      150.2 MB/s |   145.7 MB/s |     90,000 |     6,110,000 |    9.96 GB |       0
   71s |      141.9 MB/s |   145.6 MB/s |     85,000 |     6,195,000 |   10.10 GB |       0
   72s |      150.2 MB/s |   145.7 MB/s |     90,000 |     6,285,000 |   10.24 GB |       0
   73s |      141.9 MB/s |   145.6 MB/s |     85,000 |     6,370,000 |   10.38 GB |       0
   74s |      158.5 MB/s |   145.8 MB/s |     95,000 |     6,465,000 |   10.54 GB |       0
   75s |      141.9 MB/s |   145.7 MB/s |     85,000 |     6,550,000 |   10.68 GB |       0
   76s |      133.5 MB/s |   145.6 MB/s |     80,000 |     6,630,000 |   10.81 GB |       0
   77s |      166.9 MB/s |   145.9 MB/s |    100,000 |     6,730,000 |   10.97 GB |       0
   78s |      141.9 MB/s |   145.8 MB/s |     85,000 |     6,815,000 |   11.11 GB |       0
   79s |      150.2 MB/s |   145.9 MB/s |     90,000 |     6,905,000 |   11.25 GB |       0
   80s |      133.5 MB/s |   145.7 MB/s |     80,000 |     6,985,000 |   11.38 GB |       0
   81s |      141.9 MB/s |   145.7 MB/s |     85,000 |     7,070,000 |   11.52 GB |       0
   82s |      150.2 MB/s |   145.7 MB/s |     90,000 |     7,160,000 |   11.67 GB |       0
   83s |      158.5 MB/s |   145.9 MB/s |     95,000 |     7,255,000 |   11.82 GB |       0
   84s |      141.9 MB/s |   145.8 MB/s |     85,000 |     7,340,000 |   11.96 GB |       0
   85s |      133.5 MB/s |   145.7 MB/s |     80,000 |     7,420,000 |   12.09 GB |       0
   86s |      150.2 MB/s |   145.7 MB/s |     90,000 |     7,510,000 |   12.24 GB |       0
   87s |      141.9 MB/s |   145.7 MB/s |     85,000 |     7,595,000 |   12.38 GB |       0
   88s |      150.2 MB/s |   145.7 MB/s |     90,000 |     7,685,000 |   12.53 GB |       0
   89s |      158.5 MB/s |   145.9 MB/s |     95,000 |     7,780,000 |   12.68 GB |       0
   90s |      150.2 MB/s |   145.9 MB/s |     90,000 |     7,870,000 |   12.83 GB |       0
   91s |      141.9 MB/s |   145.9 MB/s |     85,000 |     7,955,000 |   12.97 GB |       0
   92s |      158.5 MB/s |   146.0 MB/s |     95,000 |     8,050,000 |   13.12 GB |       0
   93s |      158.5 MB/s |   146.1 MB/s |     95,000 |     8,145,000 |   13.27 GB |       0
   94s |      133.5 MB/s |   146.0 MB/s |     80,000 |     8,225,000 |   13.41 GB |       0
   95s |      158.5 MB/s |   146.1 MB/s |     95,000 |     8,320,000 |   13.56 GB |       0
   96s |      150.2 MB/s |   146.2 MB/s |     90,000 |     8,410,000 |   13.71 GB |       0
   97s |      158.5 MB/s |   146.3 MB/s |     95,000 |     8,505,000 |   13.86 GB |       0
   98s |      141.9 MB/s |   146.3 MB/s |     85,000 |     8,590,000 |   14.00 GB |       0
   99s |      175.2 MB/s |   146.6 MB/s |    105,000 |     8,695,000 |   14.17 GB |       0
  100s |      150.2 MB/s |   146.6 MB/s |     90,000 |     8,785,000 |   14.32 GB |       0
  101s |      166.9 MB/s |   146.8 MB/s |    100,000 |     8,885,000 |   14.48 GB |       0
  102s |      175.2 MB/s |   147.1 MB/s |    105,000 |     8,990,000 |   14.65 GB |       0
  103s |      183.6 MB/s |   147.4 MB/s |    110,000 |     9,100,000 |   14.83 GB |       0
  104s |      158.5 MB/s |   147.5 MB/s |     95,000 |     9,195,000 |   14.99 GB |       0
  105s |      175.2 MB/s |   147.8 MB/s |    105,000 |     9,300,000 |   15.16 GB |       0
  106s |      158.5 MB/s |   147.9 MB/s |     95,000 |     9,395,000 |   15.31 GB |       0
  107s |      150.2 MB/s |   147.9 MB/s |     90,000 |     9,485,000 |   15.46 GB |       0
  108s |      158.5 MB/s |   148.0 MB/s |     95,000 |     9,580,000 |   15.61 GB |       0
  109s |      158.5 MB/s |   148.1 MB/s |     95,000 |     9,675,000 |   15.77 GB |       0
  110s |      141.9 MB/s |   148.1 MB/s |     85,000 |     9,760,000 |   15.91 GB |       0
  111s |      150.2 MB/s |   148.1 MB/s |     90,000 |     9,850,000 |   16.05 GB |       0
  112s |      158.5 MB/s |   148.2 MB/s |     95,000 |     9,945,000 |   16.21 GB |       0
  113s |      150.2 MB/s |   148.2 MB/s |     90,000 |    10,035,000 |   16.36 GB |       0
  114s |      166.9 MB/s |   148.4 MB/s |    100,000 |    10,135,000 |   16.52 GB |       0
  115s |      150.2 MB/s |   148.4 MB/s |     90,000 |    10,225,000 |   16.66 GB |       0
  116s |      166.9 MB/s |   148.5 MB/s |    100,000 |    10,325,000 |   16.83 GB |       0
  117s |      141.9 MB/s |   148.5 MB/s |     85,000 |    10,410,000 |   16.97 GB |       0
  118s |      175.2 MB/s |   148.7 MB/s |    105,000 |    10,515,000 |   17.14 GB |       0
  119s |      183.6 MB/s |   149.0 MB/s |    110,000 |    10,625,000 |   17.32 GB |       0
  120s |      166.9 MB/s |   149.1 MB/s |    100,000 |    10,725,000 |   17.48 GB |       0
  121s |      158.5 MB/s |   149.2 MB/s |     95,000 |    10,820,000 |   17.63 GB |       0
  122s |      166.9 MB/s |   149.4 MB/s |    100,000 |    10,920,000 |   17.80 GB |       0
  123s |      150.2 MB/s |   149.4 MB/s |     90,000 |    11,010,000 |   17.94 GB |       0
  124s |      166.9 MB/s |   149.5 MB/s |    100,000 |    11,110,000 |   18.11 GB |       0
  125s |      133.5 MB/s |   149.4 MB/s |     80,000 |    11,190,000 |   18.24 GB |       0
  126s |      141.9 MB/s |   149.3 MB/s |     85,000 |    11,275,000 |   18.38 GB |       0
  127s |      166.9 MB/s |   149.5 MB/s |    100,000 |    11,375,000 |   18.54 GB |       0
  128s |      141.9 MB/s |   149.4 MB/s |     85,000 |    11,460,000 |   18.68 GB |       0
  129s |      150.2 MB/s |   149.4 MB/s |     90,000 |    11,550,000 |   18.82 GB |       0
  130s |      150.2 MB/s |   149.4 MB/s |     90,000 |    11,640,000 |   18.97 GB |       0
  131s |      158.5 MB/s |   149.5 MB/s |     95,000 |    11,735,000 |   19.13 GB |       0
  132s |      150.2 MB/s |   149.5 MB/s |     90,000 |    11,825,000 |   19.27 GB |       0
  133s |      158.5 MB/s |   149.6 MB/s |     95,000 |    11,920,000 |   19.43 GB |       0
  134s |      141.9 MB/s |   149.5 MB/s |     85,000 |    12,005,000 |   19.57 GB |       0
  135s |      133.5 MB/s |   149.4 MB/s |     80,000 |    12,085,000 |   19.70 GB |       0
  136s |      150.2 MB/s |   149.4 MB/s |     90,000 |    12,175,000 |   19.84 GB |       0
  137s |      133.5 MB/s |   149.3 MB/s |     80,000 |    12,255,000 |   19.97 GB |       0
  138s |      158.5 MB/s |   149.3 MB/s |     95,000 |    12,350,000 |   20.13 GB |       0
  139s |      158.5 MB/s |   149.4 MB/s |     95,000 |    12,445,000 |   20.28 GB |       0
  140s |      141.9 MB/s |   149.4 MB/s |     85,000 |    12,530,000 |   20.42 GB |       0
  141s |      133.5 MB/s |   149.2 MB/s |     80,000 |    12,610,000 |   20.55 GB |       0
  142s |      175.2 MB/s |   149.4 MB/s |    105,000 |    12,715,000 |   20.72 GB |       0
  143s |      158.5 MB/s |   149.5 MB/s |     95,000 |    12,810,000 |   20.88 GB |       0
  144s |      141.9 MB/s |   149.4 MB/s |     85,000 |    12,895,000 |   21.02 GB |       0
  145s |      175.2 MB/s |   149.6 MB/s |    105,000 |    13,000,000 |   21.19 GB |       0
  146s |      150.2 MB/s |   149.6 MB/s |     90,000 |    13,090,000 |   21.33 GB |       0
  147s |      191.9 MB/s |   149.9 MB/s |    115,000 |    13,205,000 |   21.52 GB |       0
  148s |      158.5 MB/s |   150.0 MB/s |     95,000 |    13,300,000 |   21.68 GB |       0
  149s |      183.6 MB/s |   150.2 MB/s |    110,000 |    13,410,000 |   21.86 GB |       0
  150s |      141.9 MB/s |   150.1 MB/s |     85,000 |    13,495,000 |   21.99 GB |       0
  151s |      166.9 MB/s |   150.2 MB/s |    100,000 |    13,595,000 |   22.16 GB |       0
  152s |      166.9 MB/s |   150.4 MB/s |    100,000 |    13,695,000 |   22.32 GB |       0
  153s |      150.2 MB/s |   150.4 MB/s |     90,000 |    13,785,000 |   22.47 GB |       0
  154s |      183.6 MB/s |   150.6 MB/s |    110,000 |    13,895,000 |   22.65 GB |       0
  155s |      166.9 MB/s |   150.7 MB/s |    100,000 |    13,995,000 |   22.81 GB |       0
  156s |      175.2 MB/s |   150.8 MB/s |    105,000 |    14,100,000 |   22.98 GB |       0
  157s |      166.9 MB/s |   150.9 MB/s |    100,000 |    14,200,000 |   23.14 GB |       0
  158s |      191.9 MB/s |   151.2 MB/s |    115,000 |    14,315,000 |   23.33 GB |       0
  159s |      166.9 MB/s |   151.3 MB/s |    100,000 |    14,415,000 |   23.49 GB |       0
  160s |      175.2 MB/s |   151.4 MB/s |    105,000 |    14,520,000 |   23.66 GB |       0
  161s |      166.9 MB/s |   151.5 MB/s |    100,000 |    14,620,000 |   23.83 GB |       0
  162s |      166.9 MB/s |   151.6 MB/s |    100,000 |    14,720,000 |   23.99 GB |       0
  163s |      175.2 MB/s |   151.8 MB/s |    105,000 |    14,825,000 |   24.16 GB |       0
  164s |      175.2 MB/s |   151.9 MB/s |    105,000 |    14,930,000 |   24.33 GB |       0
  165s |      175.2 MB/s |   152.1 MB/s |    105,000 |    15,035,000 |   24.50 GB |       0
  166s |      166.9 MB/s |   152.1 MB/s |    100,000 |    15,135,000 |   24.67 GB |       0
  167s |      175.2 MB/s |   152.3 MB/s |    105,000 |    15,240,000 |   24.84 GB |       0
  168s |      175.2 MB/s |   152.4 MB/s |    105,000 |    15,345,000 |   25.01 GB |       0
  169s |      191.9 MB/s |   152.7 MB/s |    115,000 |    15,460,000 |   25.20 GB |       0
  170s |      166.9 MB/s |   152.7 MB/s |    100,000 |    15,560,000 |   25.36 GB |       0
  171s |      158.5 MB/s |   152.8 MB/s |     95,000 |    15,655,000 |   25.51 GB |       0
  172s |      183.6 MB/s |   153.0 MB/s |    110,000 |    15,765,000 |   25.69 GB |       0
  173s |      158.5 MB/s |   153.0 MB/s |     95,000 |    15,860,000 |   25.85 GB |       0
  174s |      175.2 MB/s |   153.1 MB/s |    105,000 |    15,965,000 |   26.02 GB |       0
  175s |      166.9 MB/s |   153.2 MB/s |    100,000 |    16,065,000 |   26.18 GB |       0
  176s |      175.2 MB/s |   153.3 MB/s |    105,000 |    16,170,000 |   26.35 GB |       0
  177s |      158.5 MB/s |   153.3 MB/s |     95,000 |    16,265,000 |   26.51 GB |       0
  178s |      183.6 MB/s |   153.5 MB/s |    110,000 |    16,375,000 |   26.69 GB |       0
  179s |      158.5 MB/s |   153.5 MB/s |     95,000 |    16,470,000 |   26.84 GB |       0
  180s |      183.6 MB/s |   153.7 MB/s |    110,000 |    16,580,000 |   27.02 GB |       0
  181s |      175.2 MB/s |   153.8 MB/s |    105,000 |    16,685,000 |   27.19 GB |       0
  182s |      166.9 MB/s |   153.9 MB/s |    100,000 |    16,785,000 |   27.36 GB |       0
  183s |      175.2 MB/s |   154.0 MB/s |    105,000 |    16,890,000 |   27.53 GB |       0
  184s |      166.9 MB/s |   154.1 MB/s |    100,000 |    16,990,000 |   27.69 GB |       0
  185s |      175.2 MB/s |   154.2 MB/s |    105,000 |    17,095,000 |   27.86 GB |       0
  186s |      183.6 MB/s |   154.4 MB/s |    110,000 |    17,205,000 |   28.04 GB |       0
  187s |      166.9 MB/s |   154.4 MB/s |    100,000 |    17,305,000 |   28.20 GB |       0
  188s |      183.6 MB/s |   154.6 MB/s |    110,000 |    17,415,000 |   28.38 GB |       0
  189s |      158.5 MB/s |   154.6 MB/s |     95,000 |    17,510,000 |   28.54 GB |       0
  190s |      166.9 MB/s |   154.7 MB/s |    100,000 |    17,610,000 |   28.70 GB |       0
  191s |      158.5 MB/s |   154.7 MB/s |     95,000 |    17,705,000 |   28.86 GB |       0
  192s |      175.2 MB/s |   154.8 MB/s |    105,000 |    17,810,000 |   29.03 GB |       0
  193s |      166.9 MB/s |   154.9 MB/s |    100,000 |    17,910,000 |   29.19 GB |       0
  194s |      150.2 MB/s |   154.8 MB/s |     90,000 |    18,000,000 |   29.34 GB |       0
  195s |      175.2 MB/s |   154.9 MB/s |    105,000 |    18,105,000 |   29.51 GB |       0
  196s |      150.2 MB/s |   154.9 MB/s |     90,000 |    18,195,000 |   29.65 GB |       0
  197s |      183.6 MB/s |   155.1 MB/s |    110,000 |    18,305,000 |   29.83 GB |       0
  198s |      175.2 MB/s |   155.2 MB/s |    105,000 |    18,410,000 |   30.00 GB |       0
  199s |      175.2 MB/s |   155.3 MB/s |    105,000 |    18,515,000 |   30.18 GB |       0
  200s |      166.9 MB/s |   155.3 MB/s |    100,000 |    18,615,000 |   30.34 GB |       0
  201s |      166.9 MB/s |   155.4 MB/s |    100,000 |    18,715,000 |   30.50 GB |       0
  202s |      141.9 MB/s |   155.3 MB/s |     85,000 |    18,800,000 |   30.64 GB |       0
  203s |      141.9 MB/s |   155.2 MB/s |     85,000 |    18,885,000 |   30.78 GB |       0
  204s |      175.2 MB/s |   155.3 MB/s |    105,000 |    18,990,000 |   30.95 GB |       0
  205s |      141.9 MB/s |   155.3 MB/s |     85,000 |    19,075,000 |   31.09 GB |       0
  206s |      141.9 MB/s |   155.2 MB/s |     85,000 |    19,160,000 |   31.23 GB |       0
  207s |      150.2 MB/s |   155.2 MB/s |     90,000 |    19,250,000 |   31.37 GB |       0
  208s |      158.5 MB/s |   155.2 MB/s |     95,000 |    19,345,000 |   31.53 GB |       0
  209s |      158.5 MB/s |   155.2 MB/s |     95,000 |    19,440,000 |   31.68 GB |       0
  210s |      141.9 MB/s |   155.2 MB/s |     85,000 |    19,525,000 |   31.82 GB |       0
  211s |      150.2 MB/s |   155.1 MB/s |     90,000 |    19,615,000 |   31.97 GB |       0
  212s |      141.9 MB/s |   155.1 MB/s |     85,000 |    19,700,000 |   32.11 GB |       0
  213s |      141.9 MB/s |   155.0 MB/s |     85,000 |    19,785,000 |   32.25 GB |       0
  214s |      150.2 MB/s |   155.0 MB/s |     90,000 |    19,875,000 |   32.39 GB |       0
  215s |      158.5 MB/s |   155.0 MB/s |     95,000 |    19,970,000 |   32.55 GB |       0
  216s |      141.9 MB/s |   154.9 MB/s |     85,000 |    20,055,000 |   32.69 GB |       0
  217s |      133.5 MB/s |   154.8 MB/s |     80,000 |    20,135,000 |   32.82 GB |       0
  218s |      141.9 MB/s |   154.8 MB/s |     85,000 |    20,220,000 |   32.95 GB |       0
  219s |      150.2 MB/s |   154.8 MB/s |     90,000 |    20,310,000 |   33.10 GB |       0
  220s |      133.5 MB/s |   154.7 MB/s |     80,000 |    20,390,000 |   33.23 GB |       0
  221s |      150.2 MB/s |   154.6 MB/s |     90,000 |    20,480,000 |   33.38 GB |       0
  222s |      158.5 MB/s |   154.7 MB/s |     95,000 |    20,575,000 |   33.53 GB |       0
