╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
   54s |       89.8 MB/s |   101.3 MB/s |     80,000 |     4,875,000 |    5.34 GB |       0
   55s |       89.8 MB/s |   101.1 MB/s |     80,000 |     4,955,000 |    5.43 GB |       0
   56s |       89.8 MB/s |   100.9 MB/s |     80,000 |     5,035,000 |    5.52 GB |       0
   57s |      179.6 MB/s |   102.3 MB/s |    160,000 |     5,195,000 |    5.69 GB |       0
   58s |       89.8 MB/s |   102.1 MB/s |     80,000 |     5,275,000 |    5.78 GB |       0
   59s |       95.4 MB/s |   102.0 MB/s |     85,000 |     5,360,000 |    5.87 GB |       0
   60s |      106.6 MB/s |   102.0 MB/s |     95,000 |     5,455,000 |    5.98 GB |       0
   61s |       89.8 MB/s |   101.8 MB/s |     80,000 |     5,535,000 |    6.07 GB |       0
   62s |       95.4 MB/s |   101.7 MB/s |     85,000 |     5,620,000 |    6.16 GB |       0
   63s |      101.0 MB/s |   101.7 MB/s |     90,000 |     5,710,000 |    6.26 GB |       0
   64s |       78.6 MB/s |   101.4 MB/s |     70,000 |     5,780,000 |    6.34 GB |       0
   65s |      117.8 MB/s |   101.6 MB/s |    105,000 |     5,885,000 |    6.45 GB |       0
   66s |      151.5 MB/s |   102.4 MB/s |    135,000 |     6,020,000 |    6.60 GB |       0
   67s |       89.8 MB/s |   102.2 MB/s |     80,000 |     6,100,000 |    6.69 GB |       0
   68s |      101.0 MB/s |   102.2 MB/s |     90,000 |     6,190,000 |    6.78 GB |       0
   69s |       89.8 MB/s |   102.0 MB/s |     80,000 |     6,270,000 |    6.87 GB |       0
   70s |       95.4 MB/s |   101.9 MB/s |     85,000 |     6,355,000 |    6.97 GB |       0
   71s |      101.0 MB/s |   101.9 MB/s |     90,000 |     6,445,000 |    7.06 GB |       0
   72s |      117.8 MB/s |   102.1 MB/s |    105,000 |     6,550,000 |    7.18 GB |       0
